sha256,agency_id,agency_name,document_title,date,num_violations,violations_list,query,response,input_tokens,output_tokens,cost,duration_ms
405bcb80ec4fe4d61f4c565bf0a4a010f1a78a040f7ad43e8844df28bb4fb3db,CI820201294,METHODIST CHILDREN'S HOME,Special Investigation Report #2024SIC0001242,"Special Investigation Intake Date: March 12, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document summarizes a special investigation into an incident at the Methodist Children's Home in Michigan, where two youths (Youth A and Youth B) fought over clothing, leading to staff intervention. Youth A alleged that staff injured his neck during restraint, but video evidence and interviews showed the injury was caused by Youth B during the altercation, not staff. The investigation found no intentional misconduct by staff, who followed proper protocols, and concluded no violations occurred.  

**Culpability:** The staff acted appropriately under the circumstances, and the injury resulted from the youths' actions, not negligence or abuse by the facility.",2042,121,,3902
44154a531ec0e9dd5ec0222ae1f017fe5e6f51669e190fa57d0bf05dc4f1b7da,CI790296492,VASSAR HOUSE,Special Investigation Report #2024SIC0001631,"Special Investigation Intake Date: July 30, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into Vassar House, a facility operated by Wolverine Human Services, following concerns about its financial stability. The investigation included interviews with residents, staff, and administrators, as well as a review of financial documents. While the agency faces ongoing financial challenges, including managing loans and property costs, it was found to be in compliance with licensing rules and adequately meeting the needs of its residents. No substantial violations were identified, and the facility’s license status was recommended to remain unchanged. Culpability lies primarily with the agency’s leadership for its financial mismanagement, though corrective measures appear to be underway.",2954,134,,2620
f029c8162e853cfe2dfdbe19bbc931349baf59f029a7420253631b55011bde33,CI410305582,ST. JOHN'S HOME RESIDENTIAL,Special Investigation Report #2025SIC0000091,"Special Investigation Intake Date: November 8, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A special investigation was conducted by the Michigan Department of Health and Human Services (MDHHS) into allegations that a staff member at St. John’s Home Residential facility offered to cover for a youth who was caught smoking marijuana. The investigation was initiated after concerns were raised that Staff 1 had offered to protect Youth A from consequences and that Youth A had offered reciprocal protection. Through interviews with staff and youth, video footage review, and analysis of incident reports, the investigation found no evidence to substantiate the allegations. Staff 1 followed proper protocols, reporting the incident immediately, canceling Youth A’s driver’s training, and notifying supervisors. The facility was found in compliance, and no violations were established.

Culpability lies more with Youth C, who appears to have fabricated concerns about Staff 1 due to personal grievances, rather than with Staff 1 or the facility, as no misconduct or rule violations were found.",3673,188,,3671
f220e33300ec66ff9f6bbdc24830c3121f92ac644c2688de99af33a664d2df34,CI370377212,New Hope Youth Center,Special Investigation Report #2023C0000667SI,"September 13, 2023",5,Rule 400.4156 Institutions not detention institutions or shelter; Rule 400.4163 Health status assessment; notification;; Rule 400.4163 Health status assessment; notification;; Rule 400.4160 Emergency restraint.; MCL 722.628,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (MDHHS) conducted a special investigation into New Hope Youth Center, a licensed youth facility, following multiple complaints. The investigation found several violations, including:  
1. **Failure to address educational concerns** in treatment plans (violation established).  
2. **Improper supervision of youth on technology**, violating a court order (repeat violation).  
3. **Failure to notify caseworkers of restraints** (violation established).  
4. **Late or missing incident reports** for restraints (repeat violation).  
5. **Unwarranted restraints** where staff improperly used physical interventions (violation established).  

Other allegations—such as staff misconduct, improper storage of belongings, and lack of parental involvement in treatment planning—were not substantiated.  

**Culpability**: The facility bears responsibility for systemic failures in supervision, documentation, and adherence to protocols, particularly regarding restraints and youth safety, warranting corrective action.",25616,195,,8810
5c6373b4de82c01d2e59ab3d0dee24f69a601ebefcaccf09ca7f421ac411bf21,CI820201488,VISTA MARIA SPECIALTY RESIDENTIAL,Special Investigation Report #2023C0000563,"August 10, 2023",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A youth at Vista Maria Specialty Residential alleged that a male staff member named ""Mr. David"" entered her room at night and sexually assaulted her by touching her breasts. However, an investigation by Michigan’s Department of Health and Human Services found no evidence supporting her claim—video footage showed only female staff conducting checks, no male staff named ""David"" worked at the facility, and the timeline of the alleged incident was inconsistent. While the facility was found in compliance with regulations, the report noted inconsistencies in staff documentation of nighttime checks and recommended better adherence to the youth’s hygiene plan.  

**Culpability:** Given the lack of corroborating evidence and the youth’s history of trauma (including prior hallucinations), the allegation appears unsubstantiated, though the facility should ensure stricter protocol adherence to prevent future concerns.",4613,163,,7068
6c890eb77b89984e0c42cb65aab3c0963d0e438488654f062785914af9dd3177,CI820308026,SUMPTER HOUSE,Special Investigation Report #2025SIC0000914,Special Investigation Intake Date: 08/05/2025,1,Rule 400.4109,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This letter from Michigan’s Department of Health and Human Services outlines a special investigation into Sumpter House, a licensed child welfare facility, following allegations that a youth obtained a vape and that staff were vaping on-site. The investigation found insufficient evidence to prove staff provided the vape to the youth (Allegation 1) but confirmed that Staff 1 violated facility policy by vaping on the premises (Allegation 2). The facility must submit a corrective action plan to address the violations or face disciplinary action.  

**Culpability:** Staff 1 is directly responsible for violating workplace policy, while management bears some accountability for inadequate oversight of staff conduct.",2197,134,,4878
cef21eea763d1b3c16b8faf099a164e54783960ce9949c4c008a81580ff5ddfc,CP630201334,OAKLAND COUNTY DHHS,Special Investigation Report #2025SIC0000651,"Special Investigation Intake Date: May 5, 2025",1,MCL 722.621,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into allegations of child abuse/neglect occurring in a foster home licensed by another agency, not Oakland County DHHS. Investigators found no substantial violations or failure to comply with child protection laws by Oakland County DHHS, as the foster home in question was not under their jurisdiction. A separate investigation was initiated for the agency responsible for licensing the foster home. Culpability lies with the agency responsible for licensing and overseeing the foster home where the alleged abuse occurred, as Oakland County DHHS was not involved in this case.",1580,117,,2616
27e1d020fc0e97dbb59336604d778c851048d1ad1a1ec27eab95393b87b86f55,CB390258392,SAMARITAS - SOUTHWEST,Special Investigation Report #2025SIC0001028,Special Investigation Intake Date: 09/19/2025,0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (MDHHS) investigated serious allegations against a foster care worker at Samaritas-Southwest, where a parent (Parent A) accused the worker of sexually molesting a child (Youth A) during a zoo visit and using explicit language. Interviews with Youth A, the foster care worker, her supervisor, and the child’s caregiver revealed no evidence supporting the claims, with Parent A—who has a history of mental health issues—being the sole source of the allegations. The investigation concluded that no violations occurred, and the facility remained in compliance with licensing rules.  

**Culpability:** Parent A’s unfounded allegations appear driven by personal grievances and untreated mental health struggles, not misconduct by the foster care worker or agency.",2247,156,,5507
4c783b02a9c99d00d75f1d66b956441a46e47e45ac116d74c6017e0645bb4c32,CB410201088,DA BLODGETT FOR CHILDREN,Special Investigation Report #2024SIC0001248,"Special Investigation Intake Date: March 15, 2024",1,Rule 400.12207,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A Michigan Department of Health and Human Services investigation found that DA Blodgett for Children, a foster care agency, failed to ensure timely delivery of medications to a youth transferred between facilities, leaving the youth without essential medications for 16 days. Agency staff assumed another facility was responsible for transferring the medications and only acted after being informed of the issue weeks later. The violation has prompted a requirement for a corrective action plan to address compliance failures. Culpability lies primarily with the agency for inadequate oversight and communication, though assumptions about responsibilities shared between facilities also contributed to the lapse.",1914,115,,2352
3cb4d7054369dde45c411f8cefce646799c0396c273384459d656add7b3f3df4,CI820201063,CHRIST CHILD HOUSE,Special Investigation Report #2025SIC0000778,"Special Investigation Intake Date: June 9, 2025",1,Rule 400.4158 Intervention standards and prohibitions,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This letter from the Michigan Department of Health and Human Services (MDHHS) notifies Christ Child House, a child care facility, of a violation involving a staff member pushing a youth during a fight, which contravenes state rules prohibiting physical intervention. The investigation included interviews, video review, and documentation, confirming the incident and revealing a prior similar violation. The facility must submit a corrective action plan within 15 days or face disciplinary measures.  

**Culpability:** While the staff member claimed the push was unintentional, the facility bears responsibility for repeated violations, suggesting systemic failures in training or enforcement of safety protocols.",2130,124,,6623
1aa555ddbaf74e6b076eb3ed47e8417868920db62b732f08f566d524d4861021,CI820201294,Methodist Children's Home Society,Special Investigation Report #2020C0108009,"December 13, 2019",1,R 400.4126,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This report details an investigation into the Methodist Children's Home in Michigan, where three residents engaged in sexual contact outdoors while under the supervision of a staff member who was reportedly distracted by his phone. Interviews with multiple residents confirmed the incident occurred during a game of ""Truth or Dare,"" with the staff member failing to provide adequate supervision. The facility was found in violation of state rules requiring proper supervision of residents and was ordered to submit a corrective action plan.  

**Culpability:** The supervising staff member bears primary responsibility for failing to monitor the children, but the facility’s leadership also shares blame for inadequate staffing or oversight protocols that allowed such lapses to occur.",2538,132,,6234
3b85d45860f524044387d515b69ec1aade5638fe4bac48573a50155c5fa5e813,CI671000528,River Oak Youth Center,Special Investigation Report #2025SIC0000049,"Special Investigation Intake Date: October 22, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into River Oak Youth Center following an incident where a youth (Youth A) with suicidal ideation was taken to the hospital. The facility was unable to provide 1:1 supervision as initially requested by hospital staff due to staffing constraints, leading to Youth A spending the night in the hospital under hospital supervision. The investigation found that the facility was willing to provide ""constant supervision"" rather than 1:1 care, and no substantial violations were identified. The facility was ultimately found to be in compliance with licensing rules. While the facility avoided a violation, the incident highlights potential deficiencies in staffing and communication, though primary culpability rests with systemic resource limitations rather than individual negligence.",3230,147,,3276
55dcae46b5e097fa6034b3accd65a6527062dd79851ca2ac6b2564ee455b0e69,CI820201146,Girlstown,Special Investigation Report #2025SIC0000884,"Special Investigation Intake Date: July 28, 2025",1,Rule 400.4158 Intervention standards and prohibitions,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The report details a special investigation into Girlstown, a facility licensed to care for youth, following allegations of neglect and violations of health and safety policies. A youth, Youth A, injured her hand after punching a refrigerator and was not promptly provided medical attention, leading to a delayed diagnosis of a fractured pinky finger. Additionally, Staff 1 was accused of verbally abusing Youth A by encouraging her to harm herself, and there were concerns about the facility’s handling of Youth A’s suicidal ideation and dietary needs. The investigation found violations related to verbal abuse and delays in medical care but found no violation regarding dietary accommodations. Culpability lies primarily with Staff 1 for their unprofessional and harmful behavior, and with facility leadership for inadequate oversight and delayed action in addressing Youth A's medical and mental health needs.",5253,165,,3014
7d513806ee607630fb596c4a972a4c7e0e479d73e349ccc246962a01a12c8bbd,CB820315857,COMMUNITY CARE ORGANIZATION,Special Investigation Report #2025SIC0000394,"Special Investigation Intake Date: February 24, 2025",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document is a **Special Investigation Report** conducted by Michigan’s Department of Health and Human Services regarding allegations against the **Community Care Organization**, a licensed child welfare agency. The investigation focused on two claims:  
1. **Failure to provide life skills training** to youths in the Balfour Independent Living home.  
2. **Locking youths out of the home**, preventing access.  

Interviews with youths, staff, and a former employee revealed **no substantial violations**. Youths confirmed receiving life skills training, and the locked-door allegation was dismissed as the home was found to be staffed and accessible except for curfew violations. The agency was cleared of wrongdoing.  

**Culpability:** The investigation suggests the allegations were unsubstantiated, implying the former employee’s claims may have been exaggerated or misinformed, though the Life Skills Coach admitted to occasionally pre-filling paperwork—a procedural lapse without proven harm.",1975,188,,6263
5f1909283817cdb51b9aaa0ba3098c00039f26ce3a612c60709c7c1062bb1006,CB820201485,VISTA MARIA FOSTER CARE,Special Investigation Report #2025SIC0000001,"Special Investigation Intake Date: October 1, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into Vista Maria Foster Care following allegations of falsified documentation, including unauthorized signing of a supervisor’s name on Parent Agency Treatment Plans (PATP) and modifying social work contacts in the MiSACWIS system. Foster Care Specialist 1 (FCS 1) admitted to signing Foster Care Director 1’s (FCD 1) name and adding sibling visit records without proper authorization, claiming it was to ensure compliance during an audit. FCD 1 provided inconsistent statements, vaguely recalling the incident but ultimately failing to clarify her involvement or authorization. Investigators concluded that the agency violated licensing rules due to the falsified documentation and lack of accountability. Culpability lies primarily with both FCS 1 for falsifying records and FCD 1 for inadequate oversight and inconsistent recollection of events.",5169,175,,4316
5f442d19903b5bd2e8c741d4f999c8139160909d83bbd3fdcafdedd791be2300,CI820201513,Wolverine Center,Special Investigation Report #2023C0000528,"July 6, 2023",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into an incident at Wolverine Center involving a youth, Youth A, who allegedly sustained a forehead injury while being removed from a van by staff. Youth A claimed his injury occurred when staff forcibly removed him, while staff denied pulling him out and suggested the injury could have been self-inflicted earlier. The investigation included interviews with Youth A, Youth B, staff, and a review of medical records and incident reports, but no conclusive evidence was found to establish a violation of licensing rules. As a result, the facility was found to be in compliance, and no substantial violations were identified. While responsibility for the injury remains unclear, the investigation suggests a lack of intentional wrongdoing by staff, though conflicting accounts leave some ambiguity.",2460,155,,3037
f142b71dc5ab777ceb5c405799593186e78cc573bc9b33a063b18b9d7c0c387a,CI820201513,WOLVERINE CENTER,Special Investigation Report #2024SIC0001300,"Special Investigation Intake Date: April 2, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into Wolverine Center following allegations of misconduct involving staff and residents. The investigation uncovered that a former staff member (Former Staff 1) had inappropriate sexual contact with a resident (Youth T) both inside and outside the facility, leading to criminal charges against the staff member. Additionally, allegations of staff providing vapes and alcohol to residents were investigated but not substantiated. The facility acted proactively by removing the staff member and cooperating with authorities, preventing further harm. Culpability primarily lies with Former Staff 1 for her criminal actions, though the facility demonstrated diligence in addressing the issue and protecting residents.",3153,132,,2326
ba72b1c967d53c1655bf162be607e5046d3b36b2d18cbf0ef31960e0db89e434,CI820201513,Wolverine Center,Special Investigation Report #2024SIC0001730,"Special Investigation Intake Date: September 3, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document details a special investigation by the Michigan Department of Health and Human Services into allegations of improper conduct at the Wolverine Center, a child care facility. The allegations included claims that staff verbally threatened a youth (Youth A) and physically restrained them by placing hands around their neck, as well as concerns that medical attention was not provided after an altercation involving Youth A. After a thorough investigation involving interviews, document reviews, and on-site visits, no substantial violations were found. Youth A denied the claims, and staff reports and medical records supported that proper protocols were followed. Ultimately, the facility was found in compliance with licensing standards. Both Youth A and staff appeared to contribute to the chaotic events, but no culpability was established based on the investigation.",3895,151,,4172
3d955118595e494176347e580e1d7ac59bc82d612153294d03e9b2c52b700bed,CI820201008,CALUMET CENTER,Special Investigation Report #2025SIC0000404,"Special Investigation Intake Date: February 25, 2025",1,MCL 380.1,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This is a Special Investigation Report conducted by the Michigan Department of Health and Human Services regarding allegations that youths at the Calumet Center, operated by Spectrum Juvenile Justice Services, were not receiving adequate educational services. The investigation found no substantial violations, concluding that the facility provides adequate education and meets licensing requirements. However, there were delays in completing an Individualized Education Program (IEP) for Youth A due to communication gaps between the school administrator and case manager. While no culpability was assigned, the delay in completing Youth A's IEP suggests shared responsibility between the school, case manager, and foster care worker for ensuring timely communication and action.",2303,128,,2644
82481d4291f884ba1bca590078ac104d4fca29451ad9e344dc8058cf26450951,CI731001543,Queen of Angels,Special Investigation Report #2024SIC0001568,"Special Investigation Intake Date: July 8, 2024",1,Rule 400.4158,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation at Queen of Angels, a child welfare facility, following allegations of misconduct during a crisis involving two youths. While the facility was found compliant in providing necessary medical services to one youth (Youth A), it was deemed non-compliant due to a staff member using derogatory language (yelling ""What the fuck are you doing!"") toward another youth (Youth B) during the incident. The facility must now submit a corrective action plan to address the violation and ensure compliance with rules prohibiting verbal abuse. Culpability lies primarily with the staff member who used inappropriate language, but the facility also bears responsibility for failing to enforce its policies against such behavior.",4041,143,,4140
85f76e29147f1b27f9a18b291a1e622bec26ada7f6d1205e8c1a334432a70ab8,CI630201083,Camp Oakland,Special Investigation Report #2025SIC0000482,"Special Investigation Intake Date: March 17, 2025",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into Camp Oakland following allegations involving Youth A’s ability to contact her case worker, changes to her medication dosage without consent, and threats to her home pass and communication with her parent. The investigation included interviews with Youth A, her therapist, the administrator, and a review of relevant policies and documents. No substantial violations were found, and the facility was deemed compliant with all applicable licensing statutes and rules. All concerns were attributed to Youth A’s anxieties rather than actual misconduct by the facility or its staff. While Camp Oakland appears to have followed protocols appropriately, the allegations underscore the importance of clear communication between guardians, youth, and staff to prevent misunderstandings. Culpability lies primarily with the complainant for potential misinterpretation or miscommunication, though ensuring clarity in policies and procedures remains a shared responsibility.",2399,171,,3304
f3af75947a3b00c8668e441a08c9b2faf8531eae6867bb81543811f60c2c7be0,CI820201294,Methodist Children's Home Society,Special Investigation Report #2022C0207014,"February 7, 2022",1,R 400.4142,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This letter from Michigan’s Department of Health and Human Services (MDHHS) documents a **repeat violation** at Methodist Children's Home for failing to administer prescribed psychotropic medications to two youths (Youth A and Youth B) over multiple days, despite prior warnings. The facility’s poor oversight—especially during staff transitions—led to gaps in medication logs, delayed refills, and failure to follow safety plans. MDHHS issued a **first provisional license**, requiring a corrective action plan (CAP) to address systemic failures.  

**Culpability**: The facility’s administration bears clear responsibility for neglecting medication protocols, particularly Director 2, who failed to consistently review records or act on prior violations. Repeated lapses suggest a pattern of mismanagement, not isolated errors.",3454,159,,6356
d5545e35e7d768c0de9294a63f13df50f781256ac8d8fdd91baa41a7c276c86d,CI820294390,VISTA MARIA,Special Investigation Report #2023C0000606,"July 18, 2023",1,Rule 400.4158 Interventions standards and prohibitions.,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services issued a Special Investigation Report to Vista Maria, a child caring institution, following allegations that a staff member (Staff 1) threatened physical harm to a youth (Youth S) during an altercation involving thrown cushions. The investigation confirmed the threat, marking this as a repeat violation of intervention standards, as similar issues had been previously cited. Vista Maria is required to submit a corrective action plan within 15 days to address the violations and ensure future compliance. Culpability lies primarily with Staff 1 for the inappropriate threat and with Vista Maria’s leadership for failing to enforce compliance despite prior warnings.",1454,128,,2702
